"","Crime Type","Occurrence"
"1","THEFT",2799
"2","BATTERY",989
"3","CRIMINAL DAMAGE",767
"4","DECEPTIVE PRACTICE",563
"5","ASSAULT",409
"6","OTHER OFFENSE",371
"7","MOTOR VEHICLE THEFT",261
"8","ROBBERY",251
"9","BURGLARY",199
"10","CRIMINAL TRESPASS",181
"11","NARCOTICS",154
"12","OFFENSE INVOLVING CHILDREN",81
"13","CRIM SEXUAL ASSAULT",49
"14","SEX OFFENSE",38
"15","PUBLIC PEACE VIOLATION",37
"16","WEAPONS VIOLATION",29
"17","HOMICIDE",10
"18","INTERFERENCE WITH PUBLIC OFFICER",10
"19","LIQUOR LAW VIOLATION",9
"20","INTIMIDATION",8
"21","ARSON",6
"22","GAMBLING",3
"23","KIDNAPPING",2
"24","CONCEALED CARRY LICENSE VIOLATION",1
"25","HUMAN TRAFFICKING",1
"26","NON - CRIMINAL",1
"27","NON-CRIMINAL",1
"28","STALKING",1
"29","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"30","OBSCENITY",0
"31","OTHER NARCOTIC VIOLATION",0
"32","PROSTITUTION",0
"33","PUBLIC INDECENCY",0
