"","Crime Type","Occurrence"
"1","BATTERY",73
"2","CRIMINAL DAMAGE",51
"3","THEFT",42
"4","ASSAULT",30
"5","OTHER OFFENSE",26
"6","BURGLARY",15
"7","DECEPTIVE PRACTICE",15
"8","NARCOTICS",15
"9","MOTOR VEHICLE THEFT",12
"10","ROBBERY",9
"11","WEAPONS VIOLATION",5
"12","CRIM SEXUAL ASSAULT",4
"13","CRIMINAL TRESPASS",4
"14","OFFENSE INVOLVING CHILDREN",3
"15","PUBLIC PEACE VIOLATION",2
"16","ARSON",1
"17","INTERFERENCE WITH PUBLIC OFFICER",1
"18","CONCEALED CARRY LICENSE VIOLATION",0
"19","GAMBLING",0
"20","HOMICIDE",0
"21","HUMAN TRAFFICKING",0
"22","INTIMIDATION",0
"23","KIDNAPPING",0
"24","LIQUOR LAW VIOLATION",0
"25","NON - CRIMINAL",0
"26","NON-CRIMINAL",0
"27","NON-CRIMINAL (SUBJECT SPECIFIED)",0
"28","OBSCENITY",0
"29","OTHER NARCOTIC VIOLATION",0
"30","PROSTITUTION",0
"31","PUBLIC INDECENCY",0
"32","SEX OFFENSE",0
"33","STALKING",0
